採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/4/17 下午 03:05:00,1222,4.0,28.6,26.9,7.4,9310,--,3.4,42.4,2.6,23.0,27.6,35000,1.93,2770,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/3/9 上午 09:15:00,1222,2.8,15.1,15.5,7.4,1050,--,6.6,65.9,2.2,17.1,30.6,180000,2.53,254,0.368,2.34,1.13,0.129,<0.001,<0.003,<0.002,0.0045,<0.0003,<0.001,0.010,0.088,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/2/8 上午 09:55:00,1222,2.8,20.1,18.7,7.4,2940,--,5.7,61.2,1.0,11.8,17.4,31000,1.20,798,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/1/6 上午 05:25:00,1222,4.0,19.6,22.6,7.2,2980,--,4.6,53.0,1.9,19.6,85.2,32000,1.21,784,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/12/7 上午 08:25:00,1346,3.3,14.7,17.2,8.3,420,--,9.1,96.5,<1.0,8.2,295,23000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/11/9 上午 06:55:00,1346,3.3,21.6,20.4,8.3,438,--,8.9,100.3,<1.0,<4.0,1030,2600,0.02,--,0.225,--,0.43,--,<0.001,0.009,<0.002,0.0016,<0.0003,0.004,0.020,0.186,<0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/10/22 上午 07:25:00,1346,3.3,18.5,18.2,8.2,408,--,9.4,102.9,<1.0,<4.0,2110,1400,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/9/16 上午 11:15:00,1346,2.3,32.3,28.4,8.3,484,--,7.6,100.5,<1.0,6.1,95.6,340,<0.01,--,0.017,--,0.40,--,<0.001,0.008,<0.002,0.0006,<0.0003,0.006,0.018,0.048,<0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/8/4 上午 06:55:00,1346,3.3,27.8,23.2,8.2,513,--,8.4,101.9,<1.0,12.6,255,9500,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/7/4 上午 10:25:00,1346,3.3,36.6,26.1,8.3,568,--,7.9,100.3,<1.0,<4.0,1140,1100,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/6/7 上午 07:25:00,1346,3.3,26.7,22.7,8.3,588,--,8.8,103.7,<1.0,<4.0,1560,26000,0.04,--,0.619,--,0.93,--,0.003,0.030,<0.002,0.0015,<0.0003,0.027,0.088,1.07,0.001,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/5/5 上午 08:45:00,1346,1.0,32.8,23.1,8.2,576,--,8.3,98.8,<1.0,<4.0,9.2,1400,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2017/4/17 上午 09:55:00,1346,1.0,26.7,22.9,8.3,536,--,8.5,101.4,<1.0,5.5,8.9,3200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
