採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/8/7 上午 08:00:00,1222,4.0,32.8,31.3,7.41,5040,--,3.6,49.7,2.0,13.3,29.1,13000,1.19,1400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/7/5 上午 03:55:00,1222,4.0,28.0,29.3,7.44,9580,--,3.9,51.7,2.3,8.1,20.4,2200,1.52,3430,0.107,--,0.58,--,<0.001,<0.003,<0.002,0.0048,<0.0003,0.001,0.008,0.097,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/6/8 上午 07:00:00,1222,3.3,31.3,27.9,7.02,186,--,4.7,59.7,3.0,16.6,83.5,240000,0.60,26.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/5/11 上午 08:55:00,1222,2.8,24.7,25.9,7.48,3290,--,4.6,56.9,3.0,16.1,16.9,2800,1.79,877,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/4/10 上午 07:35:00,1222,3.3,17.4,20.9,7.46,4710,--,4.9,54.8,1.9,16.1,21.1,7600,1.82,1310,0.048,--,0.96,--,<0.001,<0.003,<0.002,0.0047,<0.0003,0.003,0.006,0.096,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/3/8 下午 04:15:00,1222,4.5,16.0,18.5,7.60,1410,--,4.3,45.9,3.4,15.6,30.5,18000,1.77,334,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/2/10 上午 07:25:00,1222,1.5,17.5,17.0,7.29,880,--,6.2,63.6,2.2,14.4,19.6,32000,0.43,38.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/1/6 上午 03:25:00,1222,3.3,18.1,19.1,7.21,617,--,5.4,58.1,2.0,15.8,27.1,28000,1.19,135,0.089,2.01,1.37,0.097,<0.001,0.004,<0.002,0.0040,<0.0003,0.004,0.011,0.090,<0.001,--,<0.001,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/12/4 上午 11:25:00,1346,1.0,28.4,24.4,8.37,450,--,8.1,99.0,<1.0,<4.0,2.6,50,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/11/13 上午 09:55:00,1346,1.0,25.7,22.6,8.31,420,--,8.4,99.7,<1.0,7.7,8.8,5600,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/10/4 上午 09:55:00,1346,3.3,24.1,21.6,8.14,485,--,8.6,99.8,<1.0,7.5,358,2500,0.01,--,0.197,--,0.49,--,<0.001,<0.003,<0.002,0.0007,<0.0003,<0.001,0.008,0.060,<0.001,<0.005,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/9/2 上午 09:55:00,1346,3.3,29.2,25.7,8.26,562,--,7.8,97.7,<1.0,15.3,1210,1100,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/8/7 上午 09:55:00,1346,1.0,33.9,27.5,8.24,725,--,7.6,99.7,<1.0,<4.0,14.6,130,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/7/5 上午 06:55:00,1346,2.3,27.0,22.8,8.24,736,--,8.0,95.7,1.4,<4.0,55.9,740,<0.01,--,0.016,--,0.61,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.008,0.025,<0.001,<0.005,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/6/8 上午 08:55:00,1346,3.3,28.8,25.5,8.24,653,--,7.9,99.4,<1.0,10.5,432,2600,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/5/11 上午 10:55:00,1346,1.0,26.5,25.2,8.34,596,--,8.5,105.6,<1.0,6.8,4.7,210,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/4/10 上午 09:55:00,1346,1.5,21.1,21.8,8.43,605,--,8.5,102.2,<1.0,<4.0,26.5,210,0.06,--,0.003,--,0.30,--,<0.001,<0.003,<0.002,0.0005,<0.0003,<0.001,0.006,0.016,<0.001,<0.005,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2018/3/8 下午 12:55:00,1346,1.0,16.5,17.4,8.20,448,--,9.3,99.5,<1.0,<4.0,12.2,6100,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
