採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
石門水庫,桃園市,石門水庫二,甲,2018/12/7 上午 10:08:00,2097,47,0.5,19.2,21.4,8.06,200,--,8.5,98.6,3.2,4.3,0.030,--,1.2,1.8,<4.0,0.03,--,--,--,--,0.84,--,--
石門水庫,桃園市,石門水庫二,甲,2018/11/9 上午 10:08:00,2097,35,0.5,29.3,23.4,8.63,190,--,9.7,116.0,3.8,2.6,0.004,--,1.0,1.4,8.4,0.03,--,--,--,--,0.67,--,--
石門水庫,桃園市,石門水庫二,甲,2018/10/11 上午 10:05:00,2097,53,0.5,22.3,24.4,8.58,206,--,8.1,99.3,1.8,9.3,0.035,--,1.4,3.1,4.9,0.02,--,--,--,--,1.00,--,--
石門水庫,桃園市,石門水庫二,甲,2018/9/6 上午 10:16:00,2097,51,0.5,31.6,29.3,8.96,203,--,9.2,125.2,3.0,7.7,0.041,--,2.0,1.7,<4.0,0.03,--,--,--,--,1.31,--,--
石門水庫,桃園市,石門水庫二,甲,2018/8/1 上午 10:11:00,2097,45,0.5,31.3,29.8,8.94,220,--,9.4,129.2,1.2,1.9,0.014,--,1.9,1.3,8.5,0.02,--,--,--,--,1.00,--,--
石門水庫,桃園市,石門水庫二,甲,2018/7/6 上午 10:06:00,2097,44,0.5,31.2,27.3,7.64,258,--,5.6,73.2,0.8,1.7,0.008,--,9.2,3.6,6.8,0.02,--,--,--,--,0.56,--,--
石門水庫,桃園市,石門水庫二,甲,2018/6/8 上午 10:08:00,2097,45,0.5,33.6,30.3,8.79,243,--,7.8,106.2,1.4,1.5,0.017,--,4.6,4.5,<4.0,<0.01,--,--,--,--,1.04,--,--
石門水庫,桃園市,石門水庫二,甲,2018/5/11 上午 10:05:00,2097,31,0.5,26.4,25.5,9.02,212,--,9.3,116.7,1.4,1.4,<0.002,--,3.4,4.1,9.1,0.03,--,--,--,--,1.40,--,--
石門水庫,桃園市,石門水庫二,甲,2018/4/11 上午 10:24:00,2097,41,0.5,25.6,22.0,8.94,207,--,10.6,124.7,2.0,2.8,0.007,--,2.2,3.0,4.4,0.01,--,--,--,--,1.08,--,--
石門水庫,桃園市,石門水庫二,甲,2018/3/7 上午 11:23:00,2097,46,0.5,22.5,19.1,8.60,195,--,10.3,112.5,1.9,5.9,0.012,--,2.1,1.6,4.8,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2018/2/6 上午 10:52:00,2097,49,0.5,12.0,15.4,7.96,190,--,8.6,87.7,1.0,2.0,0.024,--,10,3.8,<4.0,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫二,甲,2018/1/10 上午 10:56:00,2097,43,0.5,16.5,17.6,8.07,196,--,8.5,91.0,2.4,2.9,0.012,--,2.1,1.1,4.7,0.05,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2018/12/7 上午 09:57:00,2098,50,0.5,19.0,21.5,8.22,198,--,8.4,98.5,1.8,3.2,0.040,--,1.1,1.6,<4.0,0.03,--,--,--,--,0.83,--,--
石門水庫,桃園市,石門水庫三,甲,2018/11/9 上午 09:56:00,2098,40,0.5,28.8,23.3,8.62,189,--,9.7,116.6,4.0,2.7,0.012,--,1.6,1.7,8.9,0.06,--,--,--,--,0.74,--,--
石門水庫,桃園市,石門水庫三,甲,2018/10/11 上午 09:56:00,2098,49,0.5,22.3,24.3,8.46,206,--,8.3,101.5,1.8,7.8,0.016,--,1.2,2.0,<4.0,0.02,--,--,--,--,1.08,--,--
石門水庫,桃園市,石門水庫三,甲,2018/9/6 上午 10:03:00,2098,49,0.5,31.8,28.9,8.87,211,--,8.9,119.3,3.0,7.9,0.030,--,2.0,2.6,<4.0,0.04,--,--,--,--,1.40,--,--
石門水庫,桃園市,石門水庫三,甲,2018/8/1 上午 10:01:00,2098,43,0.5,30.8,29.8,8.89,219,--,9.8,134.7,1.6,1.2,0.015,--,1.4,1.2,8.8,0.03,--,--,--,--,0.99,--,--
石門水庫,桃園市,石門水庫三,甲,2018/7/6 上午 09:55:00,2098,39,0.5,31.0,27.6,7.69,255,--,5.7,75.9,0.6,0.6,0.004,--,9.6,4.6,6.4,0.02,--,--,--,--,0.59,--,--
石門水庫,桃園市,石門水庫三,甲,2018/6/8 上午 09:56:00,2098,43,0.5,33.2,29.9,8.76,247,--,7.8,106.3,1.4,0.8,0.016,--,5.1,4.2,5.2,0.03,--,--,--,--,1.14,--,--
石門水庫,桃園市,石門水庫三,甲,2018/5/11 上午 09:51:00,2098,46,0.5,26.1,25.1,8.97,216,--,9.5,117.6,1.6,1.6,0.022,--,2.9,3.3,6.2,0.05,--,--,--,--,1.19,--,--
石門水庫,桃園市,石門水庫三,甲,2018/4/11 上午 10:11:00,2098,41,0.5,25.3,22.1,8.92,206,--,10.4,122.8,2.0,1.7,0.009,--,2.0,3.5,<4.0,<0.01,--,--,--,--,1.08,--,--
石門水庫,桃園市,石門水庫三,甲,2018/3/7 上午 11:10:00,2098,43,0.5,23.0,18.7,8.68,196,--,10.5,113.1,2.5,3.2,0.012,--,1.8,1.6,6.2,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2018/2/6 上午 10:38:00,2098,45,0.5,12.0,15.5,7.94,193,--,8.7,88.1,1.4,2.1,0.014,--,8.3,3.3,4.4,0.01,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫三,甲,2018/1/10 上午 10:45:00,2098,43,0.5,16.5,17.6,8.06,196,--,8.4,89.3,2.6,2.3,0.017,--,1.5,1.6,<4.0,0.05,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫四,甲,2018/12/7 上午 09:47:00,2099,46,0.5,19.2,21.5,8.20,197,--,8.4,97.4,2.6,4.2,0.019,--,1.2,1.8,4.6,0.01,--,--,--,--,0.81,--,--
石門水庫,桃園市,石門水庫四,甲,2018/11/9 上午 09:44:00,2099,41,0.5,28.6,23.2,8.60,190,--,9.6,114.4,3.6,3.3,0.011,--,1.0,1.5,8.4,0.03,--,--,--,--,0.72,--,--
石門水庫,桃園市,石門水庫四,甲,2018/10/11 上午 09:45:00,2099,49,0.5,22.1,24.3,8.47,207,--,7.9,97.4,2.2,6.5,0.021,--,1.2,1.8,5.4,0.03,--,--,--,--,1.00,--,--
石門水庫,桃園市,石門水庫四,甲,2018/9/6 上午 09:52:00,2099,51,0.5,32.0,29.2,8.95,212,--,8.9,119.0,2.2,7.4,0.031,--,1.7,2.4,4.7,0.05,--,--,--,--,1.40,--,--
石門水庫,桃園市,石門水庫四,甲,2018/8/1 上午 09:50:00,2099,45,0.5,30.5,29.8,8.91,219,--,9.8,131.3,1.4,1.6,0.017,--,1.6,1.6,8.2,0.03,--,--,--,--,1.02,--,--
石門水庫,桃園市,石門水庫四,甲,2018/7/6 上午 09:44:00,2099,43,0.5,30.7,28.0,7.82,254,--,6.2,82.3,0.6,0.5,0.010,--,12,4.2,4.5,0.02,--,--,--,--,0.58,--,--
石門水庫,桃園市,石門水庫四,甲,2018/6/8 上午 09:45:00,2099,43,0.5,32.9,29.6,8.72,247,--,7.8,106.4,1.4,1.4,0.011,--,5.9,4.9,8.9,0.03,--,--,--,--,1.14,--,--
石門水庫,桃園市,石門水庫四,甲,2018/5/11 上午 09:40:00,2099,34,0.5,25.9,25.0,8.92,221,--,9.4,116.1,1.6,1.6,0.002,--,3.5,3.9,7.2,0.01,--,--,--,--,1.15,--,--
