採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/6/5 上午 11:30:00,1094,1.5,31.2,29.2,8.68,293,--,9.6,124.6,4.3,11.9,12.4,3300,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/5/3 下午 03:10:00,1094,1.5,28.4,23.5,8.14,204,--,8.8,103.0,2.5,6.6,38.2,2500,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/4/2 下午 02:30:00,1094,1.0,24.0,21.7,8.25,356,--,11.1,126.5,2.5,10.1,5.3,2300,0.07,--,0.022,--,0.34,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.012,0.031,<0.001,<0.005,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/3/14 下午 03:00:00,1094,2.0,22.7,21.7,8.14,342,--,9.0,102.2,3.5,8.5,33.2,2600,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/2/11 下午 02:20:00,1094,1.0,20.0,18.7,8.02,516,--,9.2,98.0,2.7,6.8,5.7,220,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2019/1/2 下午 12:50:00,1094,1.0,19.7,18.9,8.16,472,--,9.5,102.0,1.0,4.0,6.1,170,0.06,--,0.035,1.20,0.60,0.006,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.010,0.127,<0.001,<0.005,<0.001,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/12/4 上午 09:40:00,1095,1.5,21.1,17.6,7.72,4670,--,7.3,77.2,3.8,17.5,17.7,20000,0.33,1480,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/11/6 上午 11:40:00,1095,1.5,27.9,25.9,7.88,2780,--,9.8,122.4,4.4,20.2,14.8,25000,0.19,678,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/10/3 上午 07:20:00,1095,1.0,22.0,26.5,8.00,315,--,7.3,90.8,2.3,9.6,10.1,14000,0.20,7.1,0.400,--,0.73,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.002,0.017,0.052,<0.001,<0.005,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/9/4 上午 07:50:00,1095,1.5,27.8,29.1,7.93,346,--,6.7,87.8,2.6,10.0,34.4,11000,0.39,6.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/8/2 上午 05:10:00,1095,2.3,25.1,27.6,7.90,263,--,6.8,86.6,2.8,11.9,89.0,32000,0.21,6.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/7/5 上午 06:20:00,1095,2.0,28.0,26.9,7.99,299,--,7.1,89.3,2.8,10.4,45.2,13000,0.60,95.2,0.335,--,0.32,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.002,0.020,0.095,<0.001,0.005,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/6/5 上午 05:50:00,1095,2.0,27.2,25.1,7.93,335,--,7.2,88.2,2.9,8.8,23.6,25000,0.57,6.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/5/3 下午 04:00:00,1095,1.5,28.2,23.6,8.06,215,--,8.8,103.4,1.6,7.1,43.2,3100,0.20,79.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/4/2 下午 03:20:00,1095,2.5,23.5,21.8,7.85,654,--,8.7,98.8,4.4,11.6,31.8,65000,0.57,26.2,1.43,--,0.42,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.003,0.031,0.104,<0.001,0.007,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/3/14 上午 09:20:00,1095,1.5,20.1,20.5,7.88,457,--,8.3,91.2,<1.0,<4.0,31.8,5500,0.22,13.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/2/11 上午 08:45:00,1095,2.0,17.0,18.9,7.48,16000,--,4.9,55.4,2.2,5.3,14.1,7800,0.54,4960,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2019/1/2 下午 02:00:00,1095,2.8,19.7,20.0,7.88,15500,--,8.5,96.8,9.3,16.4,26.9,3100,0.43,4410,2.44,8.03,0.34,0.015,<0.001,<0.003,<0.002,0.0010,<0.0003,0.003,0.019,0.110,<0.001,<0.005,<0.001,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/12/4 下午 03:48:00,1067,1.5,21.5,17.6,7.96,790,--,7.8,80.8,3.9,8.8,9.0,6300,0.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/11/6 下午 02:35:00,1067,3.3,28.0,26.0,7.71,485,--,8.5,104.9,29.0,196,9.8,5500,0.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/10/2 下午 02:52:00,1067,3.3,33.0,27.6,7.79,613,--,6.8,86.3,19.4,81.2,13.7,24000,0.21,--,0.215,--,0.66,--,<0.001,<0.003,<0.002,0.0067,<0.0003,0.004,0.014,0.305,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/9/4 下午 02:34:00,1067,4.5,30.0,27.2,7.72,222,--,7.3,92.3,6.8,67.0,692,590000,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/8/7 下午 03:46:00,1067,1.0,36.3,31.9,7.72,774,--,6.5,90.0,1.3,11.2,11.5,4400,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/7/1 下午 02:43:00,1067,1.0,31.5,29.0,7.73,667,--,7.4,96.3,2.3,14.1,6.8,33000,0.29,--,0.135,--,0.83,--,<0.001,0.003,<0.002,0.0097,<0.0003,<0.001,0.026,0.356,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/6/3 下午 02:30:00,1067,2.0,29.0,28.0,7.74,688,--,6.2,79.2,3.0,14.8,21.0,25000,0.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/5/8 下午 02:15:00,1067,1.0,27.0,22.4,7.95,690,--,8.2,94.8,2.6,17.6,15.9,50000,0.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/4/2 下午 02:36:00,1067,1.0,24.0,21.4,7.62,687,--,7.2,80.5,1.8,10.7,15.6,55000,0.21,--,0.195,--,0.65,--,<0.001,0.006,<0.002,0.0063,<0.0003,0.001,0.010,0.314,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/3/4 下午 02:27:00,1067,1.5,24.0,21.3,7.64,625,--,7.0,78.1,3.2,23.2,19.2,630000,0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/2/14 下午 03:45:00,1067,1.0,23.0,20.2,7.64,731,--,7.1,77.1,2.0,12.0,12.2,23000,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹縣,新城橋,丁,2019/1/3 下午 01:25:00,1067,1.0,23.5,20.3,7.87,762,--,7.0,77.7,1.8,10.4,7.7,19000,0.22,--,0.134,2.65,0.52,0.061,<0.001,<0.003,<0.002,0.0058,<0.0003,<0.001,0.011,0.160,<0.001,<0.005,<0.001,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/12/4 下午 04:27:00,1068,3.3,21.0,18.8,7.89,747,--,8.6,90.8,3.5,15.0,22.5,29000,1.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/11/6 下午 03:15:00,1068,2.5,28.0,24.1,7.87,470,--,5.9,70.9,3.7,12.7,42.3,280000,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/10/2 下午 03:28:00,1068,3.8,32.0,30.9,7.71,481,--,7.6,102.3,17.8,40.6,42.3,19000,0.26,--,0.217,--,1.09,--,<0.001,<0.003,<0.002,0.0051,<0.0003,0.003,0.011,0.258,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/9/4 下午 03:07:00,1068,5.0,29.5,28.0,7.62,380,--,5.9,75.4,9.0,61.4,613,620000,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/8/7 下午 04:26:00,1068,1.5,36.6,33.5,7.88,547,--,10.0,141.7,3.0,28.9,20.9,26000,0.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/7/1 下午 03:18:00,1068,1.0,32.0,30.9,7.62,606,--,9.4,126.8,2.4,19.9,10.4,24000,0.26,--,0.141,--,1.02,--,<0.001,0.006,<0.002,0.0049,<0.0003,0.001,0.019,0.264,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/6/3 下午 03:10:00,1068,1.0,29.0,29.3,7.78,644,--,7.9,103.2,2.0,12.0,10.6,23000,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/5/8 下午 02:55:00,1068,1.0,27.0,23.2,6.89,567,--,7.5,87.9,2.2,15.3,11.2,29000,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/4/2 下午 03:15:00,1068,1.0,23.5,22.9,7.64,549,--,9.4,109.0,1.8,13.4,8.8,54000,0.22,--,0.130,--,1.14,--,<0.001,<0.003,<0.002,0.0043,<0.0003,0.001,0.009,0.192,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/3/4 下午 03:15:00,1068,2.0,24.0,23.7,7.69,527,--,8.0,94.2,3.4,24.3,35.8,250000,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/2/14 下午 04:25:00,1068,1.0,22.5,20.9,7.59,721,--,6.9,76.4,2.4,13.4,10.5,320000,0.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,中隘橋,丁,2019/1/3 下午 02:06:00,1068,1.5,24.0,20.9,7.83,662,--,7.9,89.1,2.6,14.4,10.0,35000,0.78,--,0.182,3.00,0.87,0.052,<0.001,<0.003,<0.002,0.0055,<0.0003,0.001,0.008,0.169,<0.001,<0.005,<0.001,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/12/4 上午 09:39:00,1069,5.0,22.0,17.1,7.82,4060,--,5.9,59.9,10.4,26.9,16.1,55000,6.62,1040,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/11/6 下午 12:15:00,1069,2.8,28.0,25.8,7.68,1560,--,6.8,84.0,4.5,17.3,9.9,5200,1.45,282,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/10/2 上午 07:32:00,1069,3.8,29.0,25.7,7.62,2250,--,5.6,69.4,3.5,18.9,29.0,63000,1.55,548,0.343,--,1.04,--,<0.001,0.005,<0.002,0.0044,<0.0003,0.003,0.117,0.242,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/9/4 上午 08:12:00,1069,4.5,31.0,29.5,7.34,7280,--,4.3,56.0,3.9,17.4,26.8,59000,1.68,2140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/8/7 上午 09:10:00,1069,4.5,36.2,29.7,7.27,7110,--,5.2,70.9,6.4,26.0,26.9,340000,2.09,2250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/7/1 下午 04:09:00,1069,2.5,31.5,30.5,7.61,2310,--,7.8,105.5,4.5,23.0,22.6,43000,0.72,531,0.273,--,1.30,--,<0.001,0.009,<0.002,0.0070,<0.0003,0.003,0.143,0.218,<0.001,0.006,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/6/3 下午 04:47:00,1069,2.0,29.0,28.6,7.63,5490,--,8.1,107.2,4.6,32.4,15.8,82000,0.94,1430,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/5/8 下午 07:00:00,1069,2.8,26.0,23.2,7.95,2370,--,6.6,77.3,3.8,21.8,14.1,220000,1.02,618,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/4/2 下午 04:05:00,1069,3.5,23.0,23.3,7.55,4040,--,7.6,89.9,5.2,21.3,18.2,410000,1.54,1130,0.308,--,1.53,--,<0.001,<0.003,<0.002,0.0046,<0.0003,0.002,0.039,0.193,<0.001,<0.005,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/3/4 下午 04:05:00,1069,4.0,24.0,23.3,7.48,2920,--,7.2,84.3,5.7,29.3,30.6,360000,1.03,740,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/2/14 上午 10:58:00,1069,6.3,22.5,21.2,7.32,10000,--,3.5,39.7,7.4,18.4,20.8,1200000,5.42,3130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
鹽港溪流域,鹽港溪,新竹市,誠仁橋,戊,2019/1/3 下午 02:56:00,1069,4.8,24.0,20.8,7.42,12500,--,6.0,68.8,4.1,32.6,31.8,610000,3.19,3910,0.467,2.04,1.35,0.243,<0.001,<0.003,<0.002,0.0050,<0.0003,0.008,0.069,0.186,<0.001,<0.005,<0.001,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/12/4 下午 12:30:00,1677,1.0,23.0,17.8,7.93,515,--,8.7,91.2,2.4,8.6,4.6,48000,0.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/11/6 上午 09:37:00,1677,2.3,28.0,21.6,7.70,533,--,6.8,78.0,2.4,8.9,9.6,33000,1.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/10/2 上午 10:20:00,1677,2.8,33.0,27.1,7.78,425,--,7.2,90.1,10.1,19.9,15.4,190000,0.61,--,0.247,--,1.17,--,<0.001,<0.003,<0.002,0.0030,<0.0003,0.002,0.008,0.197,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/9/4 上午 10:55:00,1677,2.3,31.0,28.5,7.70,582,--,7.6,98.5,7.9,20.9,10.6,36000,0.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/8/7 上午 11:58:00,1677,3.3,37.1,30.9,7.80,538,--,9.3,126.7,18.7,31.1,8.4,45000,0.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/7/1 上午 10:58:00,1677,1.0,30.5,27.5,7.72,576,--,8.4,106.6,2.9,13.5,4.4,190000,0.29,--,0.135,--,1.59,--,<0.001,<0.003,<0.002,0.0049,<0.0003,0.001,0.007,0.157,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/6/3 上午 10:34:00,1677,2.3,29.0,27.1,7.94,600,--,7.8,98.8,6.0,14.8,6.8,67000,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/5/8 上午 10:25:00,1677,2.0,23.0,22.6,7.89,555,--,5.2,60.3,2.7,12.7,6.6,32000,0.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/4/2 上午 10:36:00,1677,1.0,22.0,19.8,7.58,559,--,8.8,96.6,2.6,12.4,6.0,210000,0.47,--,0.166,--,1.56,--,<0.001,<0.003,<0.002,0.0032,<0.0003,0.001,0.008,0.154,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/3/4 上午 10:35:00,1677,4.0,24.5,19.8,7.54,434,--,7.9,86.6,6.3,17.2,41.8,700000,1.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/2/14 上午 11:56:00,1677,4.5,24.0,20.3,7.64,560,--,6.2,68.5,6.9,15.6,45.6,150000,1.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹縣,中正橋,－,2019/1/3 上午 09:55:00,1677,4.0,23.0,19.2,7.80,531,--,7.8,82.4,3.9,7.2,53.7,170000,1.34,--,0.362,1.76,1.75,0.109,<0.001,<0.003,<0.002,0.0047,<0.0003,0.002,0.013,0.191,<0.001,<0.005,<0.001,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/12/4 下午 01:38:00,1088,2.8,23.0,19.3,8.00,542,--,8.5,91.0,4.8,15.6,19.1,300,1.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/11/6 上午 10:15:00,1088,3.3,28.0,23.6,7.58,532,--,6.8,79.8,4.8,13.6,35.7,130,1.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/10/2 上午 10:57:00,1088,4.0,33.0,29.4,7.88,444,--,7.8,101.5,6.6,18.9,31.2,3900,1.27,--,0.283,--,1.06,--,<0.001,<0.003,<0.002,0.0052,<0.0003,0.002,0.009,0.187,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/9/4 上午 11:32:00,1088,5.5,31.0,29.0,7.55,530,--,0.9,12.0,3.9,19.5,29.8,780,1.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/8/7 下午 01:31:00,1088,2.8,37.4,31.9,8.45,424,--,10.8,149.1,8.6,28.3,29.0,140,0.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/7/1 上午 11:25:00,1088,2.8,34.0,31.7,7.77,607,--,15.0,206.1,5.4,21.8,22.8,490,0.46,--,0.168,--,1.56,--,<0.001,<0.003,<0.002,0.0074,<0.0003,0.002,0.007,0.310,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/6/3 上午 11:09:00,1088,4.0,32.0,29.0,7.62,549,--,6.5,84.4,8.4,23.9,65.4,3100,0.80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/5/8 上午 11:05:00,1088,4.0,23.0,22.8,7.60,560,--,3.3,38.6,3.7,19.6,13.0,7000,1.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/4/2 上午 11:15:00,1088,3.3,23.0,20.9,7.51,529,--,4.7,52.5,4.6,17.6,19.1,49000,2.76,--,0.307,--,1.10,--,<0.001,<0.003,<0.002,0.0050,<0.0003,0.002,0.011,0.306,<0.001,<0.005,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/3/4 上午 11:15:00,1088,5.3,25.5,21.8,7.86,424,--,6.3,72.0,9.3,23.8,55.2,310000,2.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/2/14 下午 01:27:00,1088,5.0,24.0,20.6,7.38,587,--,4.0,43.8,4.0,13.2,14.4,9500,4.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,鳳凰橋(原為青草湖),－,2019/1/3 上午 10:20:00,1088,6.3,24.0,18.8,7.84,578,--,4.2,45.8,5.6,15.2,26.1,21000,4.01,--,0.339,2.98,1.45,0.215,<0.001,0.004,<0.002,0.0067,<0.0003,0.003,0.071,0.219,<0.001,<0.005,<0.001,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/12/4 下午 02:19:00,1089,5.5,23.5,23.3,7.04,3420,--,6.3,74.2,8.7,20.4,36.6,270000,9.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/11/6 上午 10:55:00,1089,7.3,29.0,26.5,7.01,3160,--,5.5,68.6,9.4,22.9,298,240000,7.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/10/2 下午 01:18:00,1089,5.5,32.0,29.7,7.14,3040,--,5.6,74.0,9.3,43.1,30.7,390000,10.0,--,12.3,--,3.92,--,<0.001,<0.003,<0.002,0.0069,<0.0003,0.011,0.019,0.078,<0.001,0.027,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/9/4 下午 12:57:00,1089,5.0,30.5,29.5,7.14,2750,--,5.1,67.8,7.0,24.0,16.5,640000,7.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/8/7 下午 02:18:00,1089,5.5,37.3,31.3,7.17,2860,--,6.0,82.3,5.9,22.6,22.3,240000,8.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/7/1 下午 01:06:00,1089,5.0,33.0,30.0,7.08,2530,--,6.0,78.7,6.1,21.5,15.0,270000,6.49,--,10.7,--,6.26,--,<0.001,0.007,<0.002,0.0083,<0.0003,0.010,0.024,0.089,<0.001,0.018,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/6/3 下午 12:59:00,1089,6.3,30.0,28.5,7.22,2980,--,5.9,76.6,12.6,22.9,53.0,580000,9.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/5/8 下午 12:45:00,1089,5.5,27.0,25.4,7.57,3300,--,5.4,65.3,10.0,21.4,25.1,130000,6.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/4/2 下午 01:06:00,1089,5.5,24.5,25.1,7.06,3020,--,6.0,72.5,8.2,18.9,23.6,270000,10.7,--,12.9,--,4.49,--,<0.001,0.006,<0.002,0.0101,<0.0003,0.014,0.030,0.106,<0.001,0.037,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/3/4 下午 12:55:00,1089,5.0,25.5,24.4,7.02,2680,--,6.6,78.9,10.2,24.4,29.6,260000,5.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/2/14 下午 02:15:00,1089,8.3,24.5,24.0,7.02,3360,--,6.4,75.7,15.3,26.7,159,300000,12.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
客雅溪流域,客雅溪,新竹市,客雅溪橋,－,2019/1/3 上午 11:06:00,1089,5.0,24.0,23.9,7.06,3560,--,5.9,71.4,6.0,18.0,10.5,140000,10.3,--,15.8,3.16,6.07,0.448,<0.001,<0.003,<0.002,0.0063,<0.0003,0.017,0.042,0.050,<0.001,0.076,<0.001,--,--,--,--
客雅溪流域,客雅溪,新竹市,香雅橋,－,2019/12/4 下午 03:08:00,1090,4.3,23.0,21.3,7.37,2970,--,6.6,73.4,4.6,21.4,36.3,60000,9.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
