採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
新山水庫,基隆市,新山水庫二,乙,2019/12/6 上午 09:16:00,2088,42,0.5,14.8,19.1,7.09,124,--,7.6,82.1,1.8,1.5,0.012,--,1.5,2.6,10.9,0.06,--,--,--,--,0.95,--,--
新山水庫,基隆市,新山水庫二,乙,2019/11/4 上午 09:14:00,2088,48,0.5,22.4,22.7,7.45,186,--,7.3,85.3,1.6,3.2,0.024,--,1.0,<1.0,6.2,0.07,--,--,--,--,1.22,--,--
新山水庫,基隆市,新山水庫二,乙,2019/10/5 上午 09:15:00,2088,45,0.5,28.8,27.3,7.42,115,--,8.4,106.6,1.2,1.8,0.012,--,2.4,1.8,8.4,<0.01,--,--,--,--,1.50,--,--
新山水庫,基隆市,新山水庫二,乙,2019/9/6 上午 09:10:00,2088,45,0.5,29.8,30.0,8.02,109,--,7.7,104.1,1.6,1.7,0.020,--,1.5,1.2,10.5,<0.01,--,--,--,--,1.58,--,--
新山水庫,基隆市,新山水庫二,乙,2019/8/7 上午 09:28:00,2088,47,0.5,32.6,31.8,7.94,116,--,7.3,102.0,2.0,3.6,0.021,--,1.3,1.3,6.2,0.04,--,--,--,--,1.76,--,--
新山水庫,基隆市,新山水庫二,乙,2019/7/10 上午 09:23:00,2088,52,0.5,32.4,30.5,8.68,118,--,9.2,124.4,1.0,4.5,0.025,--,2.5,1.1,8.2,0.04,--,--,--,--,1.73,--,--
新山水庫,基隆市,新山水庫二,乙,2019/6/20 上午 09:18:00,2088,43,0.5,33.2,29.5,8.44,118,--,9.5,126.4,2.6,5.6,0.008,--,1.9,2.1,11.6,0.04,--,--,--,--,1.71,--,--
新山水庫,基隆市,新山水庫二,乙,2019/5/8 上午 09:07:00,2088,43,0.5,21.9,22.2,7.72,128,--,8.6,99.2,2.0,8.0,0.005,--,2.5,3.2,<4.0,<0.01,--,--,--,--,1.66,--,--
新山水庫,基隆市,新山水庫二,乙,2019/4/10 上午 09:09:00,2088,42,0.5,28.1,24.1,8.46,132,--,9.6,115.2,2.8,5.6,0.008,--,1.8,1.7,8.6,0.01,--,--,--,--,1.18,--,--
新山水庫,基隆市,新山水庫二,乙,2019/3/5 上午 09:20:00,2088,50,0.5,18.3,18.4,7.40,135,--,10.4,111.3,1.6,3.1,0.032,--,1.6,2.6,<4.0,<0.01,--,--,--,--,1.16,--,--
新山水庫,基隆市,新山水庫二,乙,2019/2/14 上午 09:23:00,2088,51,0.5,20.2,18.0,7.06,137,--,9.4,98.3,2.6,11.4,0.027,--,1.7,5.2,9.1,0.02,--,--,--,--,0.97,--,--
新山水庫,基隆市,新山水庫二,乙,2019/1/2 上午 09:07:00,2088,48,0.5,16.3,18.6,7.02,156,--,8.1,85.8,2.0,3.2,0.030,--,2.0,2.5,<4.0,0.01,--,--,--,--,0.80,--,--
西勢水庫,基隆市,西勢水庫,乙,2019/11/4 上午 10:35:00,2089,47,0.5,22.9,21.3,7.14,100,--,7.5,85.1,1.6,3.3,0.018,--,1.8,2.0,4.7,0.05,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2019/8/7 下午 01:10:00,2089,48,0.5,32.0,30.9,7.48,82,--,7.9,108.0,1.6,5.5,0.015,--,3.0,3.2,8.2,0.06,--,--,--,--,--,--,--
