採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,氧化還原電位,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1,4—二氯苯,1,1—二氯乙烷,1,2—二氯乙烷,1,1—二氯乙烯,順1,2—二氯乙烯,反1,2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1,1,2—三氯乙烷,1,1,1—三氯乙烷,1,2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,,mg/L,%,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺中地區,南投縣,集集國小淺層,2017/1/9 上午 09:28:00,4154,4.256,25.2,504,6.6,0.4,--,229.7,203,336,12.9,0.06,4.89,57.1,2.77,0.0005,<0.001,<0.001,0.001,<0.003,0.005,0.017,<0.005,<0.0003,<0.005,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小深層,2017/10/1 上午 08:00:00,4155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
臺中地區,南投縣,集集國小深層,2017/7/1 上午 08:00:00,4155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
臺中地區,南投縣,集集國小深層,2017/4/1 上午 08:00:00,4155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
臺中地區,南投縣,集集國小深層,2017/4/1 上午 08:00:00,4155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
臺中地區,南投縣,集集國小深層,2017/1/1 上午 08:00:00,4155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
臺中地區,南投縣,大成國小,2017/10/17 上午 09:32:00,4156,6.023,23.4,214,6.3,4.6,--,159.8,83.2,134,9.7,0.12,2.12,33.2,1.00,0.0006,<0.001,<0.001,<0.001,<0.003,0.002,0.012,<0.005,--,--,<0.0060,0.16,7.33,1.58,27.7,3.76,54.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2017/7/10 上午 09:47:00,4156,5.191,23.5,244,6.3,4.5,--,105.7,103,168,7.3,0.06,4.08,43.3,0.80,0.0006,<0.001,<0.001,<0.001,<0.003,0.007,0.017,<0.005,--,--,<0.0060,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,大成國小,2017/4/25 上午 09:46:00,4156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,大成國小,2017/4/7 上午 09:29:00,4156,7.330,23.2,189,6.4,4.4,--,133.9,75.2,134,6.0,0.08,2.09,24.9,1.08,0.0007,<0.001,<0.001,0.001,<0.003,0.003,0.006,<0.005,<0.0003,<0.005,<0.0060,0.25,6.99,0.940,20.6,5.39,55.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
