採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
屏東平原,屏東縣,建興國小新開分校,2019/11/11 下午 01:40:00,4735,4.050,27.0,293,6.65,7.1,--,130,187,3.9,<0.01,1.23,20.6,0.30,<0.0003,<0.001,<0.001,0.001,<0.003,<0.002,0.006,<0.005,--,--,<0.006,0.13,8.15,0.645,32.0,13.7,119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,建興國小新開分校,2019/5/7 下午 01:04:00,4735,--,--,--,--,2.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,加祿國小,2019/11/11 上午 09:54:00,4736,5.340,28.5,400,6.57,2.7,--,176,241,11.4,0.02,0.76,28.0,0.39,<0.0003,<0.001,<0.001,<0.001,<0.003,0.003,<0.005,<0.005,--,--,<0.006,0.14,12.1,0.578,48.6,15.2,157,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,加祿國小,2019/5/7 上午 10:09:00,4736,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,新龍社區公園(原為枋寮國小新龍分校),2019/10/15 上午 10:02:00,4737,1.560,29.1,33800,6.98,1.8,--,3790,24000,12000,0.83,0.55,1670,0.84,0.0011,<0.001,<0.001,<0.001,<0.003,0.007,0.442,1.76,--,--,0.0085,0.97,6670,254,253,722,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,新龍社區公園(原為枋寮國小新龍分校),2019/3/20 上午 09:50:00,4737,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,玉光國小,2019/10/15 下午 03:05:00,4738,3.636,28.0,690,7.08,7.9,--,302,401,47.7,<0.01,10.4,35.0,0.53,<0.0003,<0.001,0.001,<0.001,<0.003,<0.002,0.022,<0.005,--,--,<0.006,<0.1,11.5,1.38,85.6,26.7,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,玉光國小,2019/3/20 下午 02:24:00,4738,--,--,--,--,4.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,海鷗公園,2019/10/15 上午 11:39:00,4740,3.285,28.8,31700,6.90,1.3,--,4040,22000,11500,9.61,0.03,1420,1.29,0.0135,<0.001,<0.001,<0.001,<0.003,0.008,40.4,2.02,--,--,0.0101,0.80,6000,142,496,659,228,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,海鷗公園,2019/4/12 上午 09:58:00,4740,3.601,28.1,30900,6.93,1.8,--,4060,18900,9900,10.5,0.06,1230,2.17,0.0075,<0.001,<0.001,<0.001,0.020,0.012,39.1,2.28,<0.0003,0.019,<0.006,0.79,5490,122,519,595,248,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,海鷗公園,2019/3/20 上午 11:15:00,4740,--,--,--,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,羌園國小,2019/11/2 上午 10:04:00,4741,1.183,28.0,4000,6.94,1.4,--,657,2520,1010,2.47,0.02,142,1.21,0.0382,<0.001,<0.001,<0.001,<0.003,0.002,9.42,0.313,--,--,0.0117,0.16,609,6.68,162,59.5,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,羌園國小,2019/4/16 上午 09:53:00,4741,--,--,--,--,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,林邊河濱公園,2019/11/2 上午 11:03:00,4742,1.503,28.0,2320,7.20,1.0,--,512,1390,471,1.10,<0.01,117,0.79,0.0042,<0.001,<0.001,0.006,<0.003,<0.002,1.66,0.384,--,--,0.0089,0.19,288,20.7,83.8,72.2,306,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,林邊河濱公園,2019/4/16 上午 11:01:00,4742,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,竹林國小,2019/11/2 下午 01:45:00,4743,3.111,28.0,598,6.76,1.6,--,255,372,12.8,0.02,0.56,40.2,0.69,0.0004,<0.001,<0.001,0.001,<0.003,0.002,0.061,0.592,--,--,0.0082,0.19,17.2,19.2,86.9,13.3,249,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,竹林國小,2019/4/16 下午 01:59:00,4743,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,東港國小,2019/10/28 上午 11:06:00,4744,1.832,28.9,1170,7.00,6.9,--,373,642,64.1,0.27,0.01,35.2,0.72,0.0102,<0.001,<0.001,<0.001,0.003,<0.002,2.82,1.25,--,--,<0.006,0.48,88.9,6.53,119,24.6,424,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,東港國小,2019/3/29 上午 11:11:00,4744,--,--,--,--,0.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
嘉南平原,高雄市,二苓國小,2019/11/4 上午 11:38:00,4745,4.270,28.3,980,6.98,3.0,--,395,656,35.5,0.42,<0.01,149,0.72,0.0026,<0.001,<0.001,<0.001,<0.003,<0.002,2.27,0.543,--,--,<0.006,1.07,72.5,3.92,109,30.8,340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
嘉南平原,高雄市,二苓國小,2019/3/25 上午 11:44:00,4745,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,凌雲國小,2019/11/2 上午 11:09:00,4746,5.810,29.3,809,6.97,1.4,--,394,516,6.4,0.01,1.76,93.1,0.67,<0.0003,<0.001,<0.001,<0.001,<0.003,0.002,<0.005,0.505,--,--,<0.006,<0.1,17.0,9.92,134,18.8,333,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,凌雲國小,2019/3/22 上午 10:56:00,4746,--,--,--,--,1.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺北盆地,臺北市,關渡國中,2019/10/21 下午 04:54:00,4748,3.386,27.2,520,6.61,0.4,--,200,345,21.6,0.52,0.03,27.1,0.99,0.0041,<0.001,<0.001,0.001,0.006,0.004,0.926,2.07,--,--,<0.0060,0.15,25.1,10.4,70.1,11.1,202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,臺北市,關渡國中,2019/5/14 下午 02:22:00,4748,3.257,26.1,500,6.71,0.2,--,193,321,25.8,0.64,0.03,27.8,1.10,0.0037,<0.001,<0.001,<0.001,0.005,0.006,0.662,1.53,<0.0003,<0.005,<0.0060,0.19,23.3,9.01,58.8,9.88,208,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,臺北市,關渡國中,2019/4/17 下午 02:27:00,4748,--,--,--,--,0.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,二重國小(新北市),2019/10/22 上午 10:56:00,4749,3.516,27.2,414,6.46,0.2,--,161,256,26.9,0.65,0.93,26.7,1.29,<0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.041,0.045,--,--,<0.0060,0.30,16.5,2.42,37.2,14.8,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,二重國小(新北市),2019/4/18 上午 11:44:00,4749,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,文林國小,2019/10/22 上午 09:41:00,4750,6.945,26.0,550,6.42,0.5,--,142,313,29.4,3.91,0.03,59.3,1.26,0.0023,<0.001,<0.001,<0.001,<0.003,0.005,11.1,0.323,--,--,<0.0060,0.24,36.4,5.93,40.0,13.0,158,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,文林國小,2019/4/19 上午 09:48:00,4750,--,--,--,--,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,成功國小(新北市),2019/10/21 下午 06:24:00,4751,3.843,26.7,1660,6.96,0.4,--,360,1030,407,6.38,0.04,19.9,12.3,0.0121,<0.001,<0.001,<0.001,<0.003,0.019,13.1,0.892,--,--,0.0067,0.33,260,10.6,74.6,57.3,382,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,成功國小(新北市),2019/4/17 下午 04:13:00,4751,--,--,--,--,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,0.00225
臺北盆地,新北市,柑園國小,2019/10/22 上午 11:10:00,4752,6.765,25.5,397,6.31,0.5,--,153,259,13.8,0.04,1.24,52.4,0.43,<0.0003,<0.001,<0.001,<0.001,<0.003,0.003,0.347,0.312,--,--,<0.0060,0.10,15.8,4.85,45.4,12.0,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,柑園國小,2019/5/16 下午 12:27:00,4752,10.143,26.8,449,6.21,0.3,--,175,300,17.5,0.02,0.68,72.5,0.59,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.664,0.526,<0.0003,<0.005,0.0094,<0.10,16.2,4.91,47.1,14.3,117,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,柑園國小,2019/4/19 上午 11:42:00,4752,--,--,--,--,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,頂埔國小,2019/10/22 下午 12:19:00,4753,9.533,25.9,409,6.25,0.2,--,161,274,11.1,0.04,2.29,57.1,0.39,<0.0003,<0.001,0.001,0.001,<0.003,0.011,0.040,0.065,--,--,<0.0060,<0.10,18.7,3.49,47.0,12.5,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,頂埔國小,2019/4/19 下午 01:46:00,4753,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,德音國小,2019/10/22 上午 11:51:00,4754,2.583,29.9,374,6.49,0.5,--,107,232,10.2,1.85,0.04,19.9,3.05,0.0062,<0.001,<0.001,0.001,0.021,0.011,0.832,0.444,--,--,<0.0060,0.17,14.8,18.5,23.6,12.7,149,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,德音國小,2019/5/15 下午 03:47:00,4754,3.092,25.0,392,6.74,0.2,--,112,231,11.0,2.00,0.03,20.3,3.93,0.0058,<0.001,0.002,0.002,<0.003,0.009,2.65,0.337,<0.0003,<0.005,0.0091,0.18,23.7,19.1,23.9,14.8,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,德音國小,2019/4/18 上午 09:55:00,4754,--,--,--,--,2.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,新北市,積穗國小,2019/10/22 下午 02:35:00,4755,3.018,25.0,581,6.46,0.2,--,145,317,36.7,2.80,0.02,<1.0,4.64,<0.0003,<0.001,0.001,<0.001,0.004,0.004,2.78,0.777,--,--,0.0107,0.44,68.0,10.3,15.6,27.2,304,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,積穗國小,2019/5/15 下午 02:43:00,4755,3.082,24.9,580,6.41,0.2,--,153,343,36.5,2.72,0.04,2.1,5.22,<0.0003,<0.001,0.003,0.001,<0.003,0.008,2.99,0.671,<0.0003,<0.005,<0.0060,0.48,54.0,10.0,15.7,26.5,237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,新北市,積穗國小,2019/4/19 下午 03:40:00,4755,--,--,--,--,0.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
桃園中壢臺地,桃園市,楊光國中小,2019/10/25 下午 02:41:00,4756,6.188,24.5,264,5.72,0.1,--,80.8,144,24.2,<0.01,1.82,7.0,0.50,<0.0003,<0.001,<0.001,<0.001,<0.003,0.018,0.029,0.649,--,--,<0.0060,<0.10,14.5,1.85,29.5,3.05,68.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
桃園中壢臺地,桃園市,楊光國中小,2019/4/15 上午 10:37:00,4756,--,--,--,--,3.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,新竹縣,六家國小,2019/10/18 上午 10:43:00,4757,10.893,27.0,460,6.47,3.6,--,204,294,10.9,<0.01,2.67,45.7,0.25,<0.0003,<0.001,<0.001,<0.001,<0.003,0.025,0.085,0.012,--,--,<0.0060,<0.10,14.8,2.45,67.7,12.3,161,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,新竹縣,六家國小,2019/10/14 下午 02:41:00,4757,--,--,--,--,3.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
新苗地區,苗栗縣,中和國小(苗栗縣),2019/10/15 下午 02:02:00,4759,9.310,26.4,451,5.45,1.2,--,73.6,279,58.2,0.03,6.54,56.4,0.55,<0.0003,<0.001,<0.001,0.002,<0.003,0.020,0.089,0.033,--,--,0.0135,<0.10,47.3,1.99,6.12,14.3,20.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,中和國小(苗栗縣),2019/4/22 下午 02:13:00,4759,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,同光國小,2019/10/15 上午 10:50:00,4760,9.045,25.3,680,6.54,0.2,--,267,464,30.7,0.31,<0.01,111,0.90,0.0010,<0.001,<0.001,0.001,<0.003,0.015,13.4,0.954,--,--,0.0107,<0.10,35.7,4.60,61.4,27.1,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,同光國小,2019/4/22 下午 12:07:00,4760,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,龍坑國小,2019/10/15 下午 02:50:00,4761,6.592,25.4,500,5.99,1.0,--,105,316,33.8,0.06,<0.01,62.7,1.78,0.0003,<0.001,<0.001,0.001,<0.003,0.021,9.11,4.05,--,--,0.0208,<0.10,57.1,4.48,22.2,12.4,113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
新苗地區,苗栗縣,龍坑國小,2019/4/22 上午 10:57:00,4761,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
新苗地區,苗栗縣,龍坑國小,2019/4/9 下午 03:41:00,4761,8.430,26.6,529,6.21,5.3,--,136,320,28.8,0.10,<0.01,74.3,1.65,0.0003,<0.001,<0.001,0.002,<0.003,0.031,3.17,1.91,<0.0003,0.023,0.0545,0.19,48.1,3.38,20.3,19.9,136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大甲高中,2019/10/18 上午 11:45:00,4762,24.605,28.6,461,6.96,2.0,--,174,290,16.5,0.03,0.94,100,1.03,0.0005,<0.001,<0.001,0.001,<0.003,0.008,0.014,<0.005,--,--,0.0084,0.16,17.0,5.26,44.6,17.7,95.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大甲高中,2019/4/24 下午 04:02:00,4762,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,光正國小,2019/10/21 上午 09:48:00,4763,6.040,26.8,508,6.67,2.8,--,236,374,6.5,0.02,1.61,85.9,0.55,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.037,0.011,--,--,0.0080,<0.10,9.60,2.51,71.2,13.8,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,光正國小,2019/4/26 下午 03:23:00,4763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,豐原國小,2019/10/7 下午 03:40:00,4764,63.695,24.6,331,6.43,4.5,--,135,215,9.6,0.07,3.69,38.0,0.54,0.0005,<0.001,<0.001,0.002,<0.003,0.036,0.023,0.021,--,--,<0.0060,<0.10,12.8,1.80,33.2,10.8,83.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,豐原國小,2019/4/25 上午 11:43:00,4764,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,中山國小,2019/10/23 下午 01:31:00,4765,2.777,27.5,557,6.38,1.8,--,209,351,18.6,0.20,<0.01,41.1,1.16,0.0003,<0.001,<0.001,<0.001,<0.003,0.009,0.025,0.990,--,--,<0.0060,0.15,23.0,17.0,53.4,17.0,209,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,中山國小,2019/4/30 下午 01:43:00,4765,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,中山國小,2019/4/11 上午 09:32:00,4765,2.977,27.1,578,6.47,0.2,--,221,368,20.3,0.10,<0.01,45.9,1.14,<0.0003,<0.001,<0.001,0.001,<0.003,0.011,0.006,0.644,<0.0003,<0.005,<0.0060,0.21,25.0,24.1,70.5,15.3,225,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
