採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺中地區,南投縣,瑞竹國小,2019/4/29 上午 09:29:00,4152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,瑞竹國小,2019/4/12 上午 09:22:00,4152,5.100,25.8,632,6.98,1.4,--,268,400,5.7,0.21,<0.01,42.2,0.59,0.0010,<0.001,<0.001,<0.001,<0.003,0.014,1.05,0.470,<0.0003,0.015,<0.0060,0.14,19.4,1.75,84.3,14.5,287,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2019/1/11 上午 09:57:00,4152,5.056,25.2,619,7.05,0.1,--,322,382,6.0,0.24,<0.01,46.3,0.95,0.0019,<0.001,<0.001,0.001,<0.003,0.017,0.775,0.425,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2019/10/22 下午 02:28:00,4153,1.869,25.0,526,7.48,0.1,--,172,337,11.9,0.69,<0.01,19.6,0.51,0.0156,<0.001,<0.001,0.001,<0.003,0.004,0.071,0.122,--,--,<0.0060,<0.10,40.6,5.35,38.5,16.1,244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2019/7/10 下午 03:17:00,4153,1.518,25.0,535,7.46,0.4,--,184,327,11.2,0.41,0.01,20.1,0.55,0.0088,<0.001,<0.001,0.002,<0.003,0.006,0.058,0.132,--,--,<0.0060,0.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2019/4/29 下午 02:29:00,4153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,鹿谷國小,2019/4/12 下午 03:36:00,4153,1.793,25.0,541,7.47,1.2,--,172,350,10.6,0.54,<0.01,18.4,0.83,0.0155,<0.001,<0.001,0.001,<0.003,0.006,0.058,0.084,<0.0003,<0.005,0.0121,0.20,46.2,5.94,44.5,15.8,255,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2019/1/11 下午 03:46:00,4153,2.100,24.6,540,7.46,0.1,--,182,328,12.0,0.51,<0.01,21.0,0.94,0.0066,<0.001,<0.001,0.002,<0.003,0.007,0.077,0.153,--,--,<0.0060,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2019/10/24 上午 09:46:00,4154,3.789,26.2,488,6.55,0.7,--,215,347,11.3,0.08,5.57,56.9,0.50,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,<0.005,<0.005,--,--,<0.0060,0.13,13.7,5.83,58.4,15.5,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2019/7/10 下午 04:35:00,4154,3.546,25.8,495,6.70,1.1,--,215,377,10.4,0.06,0.91,57.8,0.44,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.008,<0.005,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
